Asset name,Source URL,License,Attribution required?,File format downloaded,Approximate polygon/triangle count,One-line description,Folder/category,File path
kenney furniture-kit bathroomCabinet,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,DAE,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_bathroomCabinet.dae
kenney furniture-kit bathroomCabinetDrawer,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,DAE,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_bathroomCabinetDrawer.dae
kenney furniture-kit bathroomMirror,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,DAE,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_bathroomMirror.dae
kenney furniture-kit bathroomSink,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,DAE,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_bathroomSink.dae
kenney furniture-kit bathroomSinkSquare,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,DAE,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_bathroomSinkSquare.dae
kenney furniture-kit bathtub,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,DAE,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_bathtub.dae
kenney furniture-kit bear,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,DAE,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_bear.dae
kenney furniture-kit bedBunk,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,DAE,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_bedBunk.dae
kenney furniture-kit bedDouble,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,DAE,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_bedDouble.dae
kenney furniture-kit bedSingle,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,DAE,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_bedSingle.dae
kenney furniture-kit bench,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,DAE,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_bench.dae
kenney furniture-kit benchCushion,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,DAE,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_benchCushion.dae
kenney furniture-kit benchCushionLow,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,DAE,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Furniture,/home/ubuntu/BOPLUX_assets/Furniture/kenney_furniture-kit_benchCushionLow.dae
kenney furniture-kit bookcaseClosed,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,DAE,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Miscellaneous,/home/ubuntu/BOPLUX_assets/Miscellaneous/kenney_furniture-kit_bookcaseClosed.dae
kenney furniture-kit bookcaseClosedDoors,https://kenney.nl/assets/furniture-kit,CC0 1.0,N,DAE,Not stated,"Furniture kit: chairs, tables, beds, cabinets and interior props.",Structural_Kit,/home/ubuntu/BOPLUX_assets/Structural_Kit/kenney_furniture-kit_bookcaseClosedDoors.dae
